"","census","d_cutoff","x","y","soiltype"
"372",1,10,430,150,"4"
"373",1,10,450,150,"4"
"374",1,10,470,150,"4"
"375",1,10,490,150,"4"
"376",1,10,510,150,"1"
"377",1,10,530,150,"1"
"378",1,10,550,150,"4"
"379",1,10,570,150,"4"
"380",1,10,590,150,"4"
"381",1,10,610,150,"4"
"382",1,10,630,150,"4"
"383",1,10,650,150,"4"
"384",1,10,670,150,"4"
"385",1,10,690,150,"4"
"386",1,10,710,150,"4"
"387",1,10,730,150,"4"
"388",1,10,750,150,"4"
"389",1,10,770,150,"4"
"390",1,10,790,150,"4"
"391",1,10,810,150,"1"
"392",1,10,830,150,"1"
"393",1,10,850,150,"1"
"394",1,10,870,150,"1"
"395",1,10,890,150,"1"
"396",1,10,910,150,"1"
"397",1,10,930,150,"1"
"398",1,10,950,150,"1"
"399",1,10,970,150,"1"
"400",1,10,990,150,"1"
"401",1,10,10,170,"2"
"402",1,10,30,170,"2"
"403",1,10,50,170,"2"
"404",1,10,70,170,"2"
"405",1,10,90,170,"2"
"406",1,10,110,170,"4"
"407",1,10,130,170,"4"
"408",1,10,150,170,"4"
"409",1,10,170,170,"4"
"410",1,10,190,170,"4"
"411",1,10,210,170,"4"
"412",1,10,230,170,"4"
"413",1,10,250,170,"4"
"414",1,10,270,170,"4"
"415",1,10,290,170,"4"
"416",1,10,310,170,"4"
"417",1,10,330,170,"4"
"418",1,10,350,170,"4"
"419",1,10,370,170,"4"
"420",1,10,390,170,"4"
"421",1,10,410,170,"4"
"422",1,10,430,170,"4"
"423",1,10,450,170,"4"
"424",1,10,470,170,"4"
"425",1,10,490,170,"4"
"426",1,10,510,170,"4"
"427",1,10,530,170,"3"
"428",1,10,550,170,"3"
"429",1,10,570,170,"4"
"430",1,10,590,170,"4"
"431",1,10,610,170,"4"
"432",1,10,630,170,"4"
"433",1,10,650,170,"3"
"434",1,10,670,170,"3"
"435",1,10,690,170,"3"
"436",1,10,710,170,"3"
"437",1,10,730,170,"3"
"438",1,10,750,170,"3"
"439",1,10,770,170,"3"
"440",1,10,790,170,"4"
"441",1,10,810,170,"1"
"442",1,10,830,170,"1"
"443",1,10,850,170,"1"
"444",1,10,870,170,"1"
"445",1,10,890,170,"1"
"446",1,10,910,170,"1"
"447",1,10,930,170,"1"
"448",1,10,950,170,"1"
"449",1,10,970,170,"1"
"450",1,10,990,170,"1"
"451",1,10,10,190,"2"
"452",1,10,30,190,"2"
"453",1,10,50,190,"2"
"454",1,10,70,190,"2"
"455",1,10,90,190,"2"
"456",1,10,110,190,"2"
"457",1,10,130,190,"4"
"458",1,10,150,190,"3"
"459",1,10,170,190,"3"
"460",1,10,190,190,"3"
"461",1,10,210,190,"3"
"462",1,10,230,190,"4"
"463",1,10,250,190,"4"
"464",1,10,270,190,"4"
"465",1,10,290,190,"4"
"466",1,10,310,190,"4"
"467",1,10,330,190,"4"
"468",1,10,350,190,"4"
"469",1,10,370,190,"4"
"470",1,10,390,190,"3"
"471",1,10,410,190,"3"
"472",1,10,430,190,"3"
"473",1,10,450,190,"3"
"474",1,10,470,190,"3"
"475",1,10,490,190,"4"
"476",1,10,510,190,"4"
"477",1,10,530,190,"4"
"478",1,10,550,190,"3"
"479",1,10,570,190,"4"
"480",1,10,590,190,"4"
"481",1,10,610,190,"4"
"482",1,10,630,190,"4"
"483",1,10,650,190,"3"
"484",1,10,670,190,"3"
"485",1,10,690,190,"3"
"486",1,10,710,190,"3"
"487",1,10,730,190,"3"
"488",1,10,750,190,"3"
"489",1,10,770,190,"3"
"490",1,10,790,190,"4"
"491",1,10,810,190,"1"
"492",1,10,830,190,"1"
"493",1,10,850,190,"1"
"494",1,10,870,190,"1"
"495",1,10,890,190,"1"
"496",1,10,910,190,"1"
"497",1,10,930,190,"1"
"498",1,10,950,190,"1"
"499",1,10,970,190,"1"
"500",1,10,990,190,"1"
"501",1,10,10,210,"2"
"502",1,10,30,210,"2"
"503",1,10,50,210,"2"
"504",1,10,70,210,"2"
"505",1,10,90,210,"2"
"506",1,10,110,210,"2"
"507",1,10,130,210,"2"
"508",1,10,150,210,"2"
"509",1,10,170,210,"3"
"510",1,10,190,210,"3"
"511",1,10,210,210,"3"
"512",1,10,230,210,"3"
"513",1,10,250,210,"3"
"514",1,10,270,210,"4"
"515",1,10,290,210,"4"
"516",1,10,310,210,"4"
"517",1,10,330,210,"4"
"518",1,10,350,210,"3"
"519",1,10,370,210,"3"
"520",1,10,390,210,"3"
"521",1,10,410,210,"3"
"522",1,10,430,210,"3"
"523",1,10,450,210,"3"
"524",1,10,470,210,"3"
"525",1,10,490,210,"3"
"526",1,10,510,210,"4"
"527",1,10,530,210,"4"
"528",1,10,550,210,"4"
"529",1,10,570,210,"4"
"530",1,10,590,210,"4"
"531",1,10,610,210,"4"
"532",1,10,630,210,"4"
"533",1,10,650,210,"3"
"534",1,10,670,210,"4"
"535",1,10,690,210,"4"
"536",1,10,710,210,"4"
"537",1,10,730,210,"3"
"538",1,10,750,210,"3"
"539",1,10,770,210,"4"
"540",1,10,790,210,"4"
"541",1,10,810,210,"1"
"542",1,10,830,210,"1"
"543",1,10,850,210,"1"
"544",1,10,870,210,"1"
"545",1,10,890,210,"1"
"546",1,10,910,210,"1"
"547",1,10,930,210,"1"
"548",1,10,950,210,"1"
"549",1,10,970,210,"1"
"550",1,10,990,210,"1"
"551",1,10,10,230,"2"
"552",1,10,30,230,"2"
"553",1,10,50,230,"2"
"554",1,10,70,230,"2"
"555",1,10,90,230,"2"
"556",1,10,110,230,"2"
"557",1,10,130,230,"2"
"558",1,10,150,230,"2"
"559",1,10,170,230,"2"
"560",1,10,190,230,"3"
"561",1,10,210,230,"3"
"562",1,10,230,230,"3"
"563",1,10,250,230,"3"
"564",1,10,270,230,"3"
"565",1,10,290,230,"3"
"566",1,10,310,230,"3"
"567",1,10,330,230,"3"
"568",1,10,350,230,"3"
"569",1,10,370,230,"3"
"570",1,10,390,230,"3"
"571",1,10,410,230,"3"
"572",1,10,430,230,"3"
"573",1,10,450,230,"3"
"574",1,10,470,230,"3"
"575",1,10,490,230,"3"
"576",1,10,510,230,"4"
"577",1,10,530,230,"4"
"578",1,10,550,230,"4"
"579",1,10,570,230,"4"
"580",1,10,590,230,"4"
"581",1,10,610,230,"4"
"582",1,10,630,230,"3"
"583",1,10,650,230,"4"
"584",1,10,670,230,"4"
"585",1,10,690,230,"4"
"586",1,10,710,230,"4"
"587",1,10,730,230,"4"
"588",1,10,750,230,"4"
"589",1,10,770,230,"4"
"590",1,10,790,230,"4"
"591",1,10,810,230,"1"
"592",1,10,830,230,"1"
"593",1,10,850,230,"1"
"594",1,10,870,230,"1"
"595",1,10,890,230,"1"
"596",1,10,910,230,"1"
"597",1,10,930,230,"1"
"598",1,10,950,230,"1"
"599",1,10,970,230,"1"
"600",1,10,990,230,"1"
"601",1,10,10,250,"2"
"602",1,10,30,250,"2"
"603",1,10,50,250,"2"
"604",1,10,70,250,"2"
"605",1,10,90,250,"2"
"606",1,10,110,250,"2"
"607",1,10,130,250,"2"
"608",1,10,150,250,"2"
"609",1,10,170,250,"2"
"610",1,10,190,250,"3"
"611",1,10,210,250,"3"
"612",1,10,230,250,"3"
"613",1,10,250,250,"3"
"614",1,10,270,250,"3"
"615",1,10,290,250,"3"
"616",1,10,310,250,"3"
"617",1,10,330,250,"3"
"618",1,10,350,250,"3"
"619",1,10,370,250,"3"
"620",1,10,390,250,"3"
"621",1,10,410,250,"3"
"622",1,10,430,250,"3"
"623",1,10,450,250,"3"
"624",1,10,470,250,"3"
"625",1,10,490,250,"3"
"626",1,10,510,250,"4"
"627",1,10,530,250,"4"
"628",1,10,550,250,"4"
"629",1,10,570,250,"4"
"630",1,10,590,250,"4"
"631",1,10,610,250,"4"
"632",1,10,630,250,"4"
"633",1,10,650,250,"4"
"634",1,10,670,250,"4"
"635",1,10,690,250,"4"
"636",1,10,710,250,"4"
"637",1,10,730,250,"4"
"638",1,10,750,250,"4"
"639",1,10,770,250,"4"
"640",1,10,790,250,"4"
"641",1,10,810,250,"1"
"642",1,10,830,250,"1"
"643",1,10,850,250,"1"
"644",1,10,870,250,"1"
"645",1,10,890,250,"1"
"646",1,10,910,250,"1"
"647",1,10,930,250,"1"
"648",1,10,950,250,"1"
"649",1,10,970,250,"1"
"650",1,10,990,250,"1"
"651",1,10,10,270,"2"
"652",1,10,30,270,"2"
"653",1,10,50,270,"2"
"654",1,10,70,270,"2"
"655",1,10,90,270,"2"
"656",1,10,110,270,"2"
"657",1,10,130,270,"2"
"658",1,10,150,270,"2"
"659",1,10,170,270,"2"
"660",1,10,190,270,"2"
"661",1,10,210,270,"3"
"662",1,10,230,270,"3"
"663",1,10,250,270,"3"
"664",1,10,270,270,"3"
"665",1,10,290,270,"3"
"666",1,10,310,270,"3"
"667",1,10,330,270,"3"
"668",1,10,350,270,"3"
"669",1,10,370,270,"3"
"670",1,10,390,270,"3"
"671",1,10,410,270,"3"
"672",1,10,430,270,"3"
"673",1,10,450,270,"3"
"674",1,10,470,270,"3"
"675",1,10,490,270,"3"
"676",1,10,510,270,"4"
"677",1,10,530,270,"4"
"678",1,10,550,270,"4"
"679",1,10,570,270,"4"
"680",1,10,590,270,"4"
"681",1,10,610,270,"4"
"682",1,10,630,270,"4"
"683",1,10,650,270,"4"
"684",1,10,670,270,"4"
"685",1,10,690,270,"4"
"686",1,10,710,270,"4"
"687",1,10,730,270,"4"
"688",1,10,750,270,"4"
"689",1,10,770,270,"4"
"690",1,10,790,270,"4"
"691",1,10,810,270,"1"
"692",1,10,830,270,"1"
"693",1,10,850,270,"1"
"694",1,10,870,270,"1"
"695",1,10,890,270,"1"
"696",1,10,910,270,"1"
"697",1,10,930,270,"1"
"698",1,10,950,270,"1"
"699",1,10,970,270,"1"
"700",1,10,990,270,"1"
"701",1,10,10,290,"2"
"702",1,10,30,290,"2"
"703",1,10,50,290,"2"
"704",1,10,70,290,"2"
"705",1,10,90,290,"2"
"706",1,10,110,290,"2"
"707",1,10,130,290,"2"
"708",1,10,150,290,"2"
"709",1,10,170,290,"2"
"710",1,10,190,290,"2"
"711",1,10,210,290,"2"
"712",1,10,230,290,"3"
"713",1,10,250,290,"3"
"714",1,10,270,290,"3"
"715",1,10,290,290,"3"
"716",1,10,310,290,"3"
"717",1,10,330,290,"3"
"718",1,10,350,290,"3"
"719",1,10,370,290,"3"
"720",1,10,390,290,"3"
"721",1,10,410,290,"3"
"722",1,10,430,290,"3"
"723",1,10,450,290,"3"
"724",1,10,470,290,"3"
"725",1,10,490,290,"3"
"726",1,10,510,290,"4"
"727",1,10,530,290,"4"
"728",1,10,550,290,"4"
"729",1,10,570,290,"4"
"730",1,10,590,290,"4"
"731",1,10,610,290,"4"
"732",1,10,630,290,"4"
"733",1,10,650,290,"4"
"734",1,10,670,290,"3"
"735",1,10,690,290,"4"
"736",1,10,710,290,"4"
"737",1,10,730,290,"4"
"738",1,10,750,290,"4"
"739",1,10,770,290,"4"
"740",1,10,790,290,"4"
"741",1,10,810,290,"2"
"742",1,10,830,290,"1"
"743",1,10,850,290,"1"
"744",1,10,870,290,"1"
"745",1,10,890,290,"1"
"746",1,10,910,290,"1"
"747",1,10,930,290,"1"
"748",1,10,950,290,"1"
"749",1,10,970,290,"1"
"750",1,10,990,290,"1"
"751",1,10,10,310,"2"
"752",1,10,30,310,"2"
"753",1,10,50,310,"2"
"754",1,10,70,310,"2"
"755",1,10,90,310,"2"
"756",1,10,110,310,"2"
"757",1,10,130,310,"2"
"758",1,10,150,310,"2"
"759",1,10,170,310,"2"
"760",1,10,190,310,"2"
"761",1,10,210,310,"2"
"762",1,10,230,310,"3"
"763",1,10,250,310,"3"
"764",1,10,270,310,"3"
"765",1,10,290,310,"3"
"766",1,10,310,310,"3"
"767",1,10,330,310,"3"
"768",1,10,350,310,"3"
"769",1,10,370,310,"3"
"770",1,10,390,310,"3"
"771",1,10,410,310,"3"
"772",1,10,430,310,"3"
"773",1,10,450,310,"3"
"774",1,10,470,310,"3"
"775",1,10,490,310,"4"
"776",1,10,510,310,"4"
"777",1,10,530,310,"4"
"778",1,10,550,310,"4"
"779",1,10,570,310,"4"
"780",1,10,590,310,"4"
"781",1,10,610,310,"4"
"782",1,10,630,310,"4"
"783",1,10,650,310,"4"
"784",1,10,670,310,"3"
"785",1,10,690,310,"4"
"786",1,10,710,310,"4"
"787",1,10,730,310,"4"
"788",1,10,750,310,"4"
"789",1,10,770,310,"4"
"790",1,10,790,310,"4"
"791",1,10,810,310,"2"
"792",1,10,830,310,"1"
"793",1,10,850,310,"1"
"794",1,10,870,310,"1"
"795",1,10,890,310,"1"
"796",1,10,910,310,"1"
"797",1,10,930,310,"1"
"798",1,10,950,310,"1"
"799",1,10,970,310,"1"
"800",1,10,990,310,"1"
"801",1,10,10,330,"2"
"802",1,10,30,330,"2"
"803",1,10,50,330,"2"
"804",1,10,70,330,"2"
"805",1,10,90,330,"2"
"806",1,10,110,330,"2"
"807",1,10,130,330,"2"
"808",1,10,150,330,"2"
"809",1,10,170,330,"2"
"810",1,10,190,330,"2"
"811",1,10,210,330,"2"
"812",1,10,230,330,"3"
"813",1,10,250,330,"3"
"814",1,10,270,330,"3"
"815",1,10,290,330,"3"
"816",1,10,310,330,"3"
"817",1,10,330,330,"3"
"818",1,10,350,330,"4"
"819",1,10,370,330,"4"
"820",1,10,390,330,"4"
"821",1,10,410,330,"4"
"822",1,10,430,330,"3"
"823",1,10,450,330,"3"
"824",1,10,470,330,"2"
"825",1,10,490,330,"4"
"826",1,10,510,330,"4"
"827",1,10,530,330,"2"
"828",1,10,550,330,"2"
"829",1,10,570,330,"2"
"830",1,10,590,330,"4"
"831",1,10,610,330,"4"
"832",1,10,630,330,"4"
"833",1,10,650,330,"4"
"834",1,10,670,330,"4"
"835",1,10,690,330,"4"
"836",1,10,710,330,"4"
"837",1,10,730,330,"4"
"838",1,10,750,330,"4"
"839",1,10,770,330,"4"
"840",1,10,790,330,"4"
"841",1,10,810,330,"4"
"842",1,10,830,330,"1"
"843",1,10,850,330,"1"
"844",1,10,870,330,"1"
"845",1,10,890,330,"1"
"846",1,10,910,330,"1"
"847",1,10,930,330,"1"
"848",1,10,950,330,"1"
"849",1,10,970,330,"1"
"850",1,10,990,330,"1"
"851",1,10,10,350,"4"
"852",1,10,30,350,"2"
"853",1,10,50,350,"2"
"854",1,10,70,350,"2"
"855",1,10,90,350,"2"
"856",1,10,110,350,"2"
"857",1,10,130,350,"2"
"858",1,10,150,350,"2"
"859",1,10,170,350,"2"
"860",1,10,190,350,"2"
"861",1,10,210,350,"2"
"862",1,10,230,350,"2"
"863",1,10,250,350,"3"
"864",1,10,270,350,"3"
"865",1,10,290,350,"2"
"866",1,10,310,350,"2"
"867",1,10,330,350,"2"
"868",1,10,350,350,"4"
"869",1,10,370,350,"4"
"870",1,10,390,350,"4"
"871",1,10,410,350,"4"
"872",1,10,430,350,"3"
"873",1,10,450,350,"2"
"874",1,10,470,350,"2"
"875",1,10,490,350,"2"
"876",1,10,510,350,"4"
"877",1,10,530,350,"2"
"878",1,10,550,350,"2"
"879",1,10,570,350,"2"
"880",1,10,590,350,"2"
"881",1,10,610,350,"4"
"882",1,10,630,350,"4"
"883",1,10,650,350,"4"
"884",1,10,670,350,"4"
"885",1,10,690,350,"4"
"886",1,10,710,350,"4"
"887",1,10,730,350,"4"
"888",1,10,750,350,"4"
"889",1,10,770,350,"4"
"890",1,10,790,350,"4"
"891",1,10,810,350,"4"
"892",1,10,830,350,"1"
"893",1,10,850,350,"1"
"894",1,10,870,350,"1"
"895",1,10,890,350,"1"
"896",1,10,910,350,"1"
"897",1,10,930,350,"1"
"898",1,10,950,350,"1"
"899",1,10,970,350,"1"
"900",1,10,990,350,"1"
"901",1,10,10,370,"4"
"902",1,10,30,370,"4"
"903",1,10,50,370,"2"
"904",1,10,70,370,"3"
"905",1,10,90,370,"2"
"906",1,10,110,370,"2"
"907",1,10,130,370,"2"
"908",1,10,150,370,"2"
"909",1,10,170,370,"2"
"910",1,10,190,370,"2"
"911",1,10,210,370,"2"
"912",1,10,230,370,"2"
"913",1,10,250,370,"2"
"914",1,10,270,370,"2"
"915",1,10,290,370,"2"
"916",1,10,310,370,"2"
"917",1,10,330,370,"2"
"918",1,10,350,370,"4"
"919",1,10,370,370,"4"
"920",1,10,390,370,"4"
"921",1,10,410,370,"3"
"922",1,10,430,370,"3"
"923",1,10,450,370,"2"
"924",1,10,470,370,"2"
"925",1,10,490,370,"2"
"926",1,10,510,370,"2"
"927",1,10,530,370,"2"
"928",1,10,550,370,"2"
"929",1,10,570,370,"2"
