"","sp","group","algorithm","weighted","modularity","number_of_groups","d_cutoff","seed"
"506","MICOLA","2","louvain",TRUE,0.0673422361403953,3,30,0
"507","MICOLN","3","louvain",TRUE,0.0673422361403953,3,30,0
"508","MICOLO","2","louvain",TRUE,0.0673422361403953,3,30,0
"509","MICOMI","1","louvain",TRUE,0.0673422361403953,3,30,0
"510","MICOTH","3","louvain",TRUE,0.0673422361403953,3,30,0
"511","MORUIN","1","louvain",TRUE,0.0673422361403953,3,30,0
"512","MYRC03","2","louvain",TRUE,0.0673422361403953,3,30,0
"513","MYRCFA","2","louvain",TRUE,0.0673422361403953,3,30,0
"514","MYRCMO","2","louvain",TRUE,0.0673422361403953,3,30,0
"515","MYRCMU","2","louvain",TRUE,0.0673422361403953,3,30,0
"516","MYRCRO","3","louvain",TRUE,0.0673422361403953,3,30,0
"517","NAUCNA","3","louvain",TRUE,0.0673422361403953,3,30,0
"518","NECT01","2","louvain",TRUE,0.0673422361403953,3,30,0
"519","NECTLI","2","louvain",TRUE,0.0673422361403953,3,30,0
"520","OCOT02","2","louvain",TRUE,0.0673422361403953,3,30,0
"521","OCOT03","1","louvain",TRUE,0.0673422361403953,3,30,0
"522","OCOT04","2","louvain",TRUE,0.0673422361403953,3,30,0
"523","OCOT05","1","louvain",TRUE,0.0673422361403953,3,30,0
"524","OCOT07","2","louvain",TRUE,0.0673422361403953,3,30,0
"525","OCOTCA","3","louvain",TRUE,0.0673422361403953,3,30,0
"526","OCOTFL","2","louvain",TRUE,0.0673422361403953,3,30,0
"527","OCOTHI","1","louvain",TRUE,0.0673422361403953,3,30,0
"528","OREO01","1","louvain",TRUE,0.0673422361403953,3,30,0
"529","OREOCO","2","louvain",TRUE,0.0673422361403953,3,30,0
"530","OSSA02","1","louvain",TRUE,0.0673422361403953,3,30,0
"531","OSSA03","1","louvain",TRUE,0.0673422361403953,3,30,0
"532","OTOBLE","2","louvain",TRUE,0.0673422361403953,3,30,0
"533","PACHPA","1","louvain",TRUE,0.0673422361403953,3,30,0
"534","PALI01","1","louvain",TRUE,0.0673422361403953,3,30,0
"535","PALI04","2","louvain",TRUE,0.0673422361403953,3,30,0
"536","PALIDE","1","louvain",TRUE,0.0673422361403953,3,30,0
"537","PALIGA","1","louvain",TRUE,0.0673422361403953,3,30,0
"538","PALIGI","3","louvain",TRUE,0.0673422361403953,3,30,0
"539","PALIPI","3","louvain",TRUE,0.0673422361403953,3,30,0
"540","PALIST","2","louvain",TRUE,0.0673422361403953,3,30,0
"541","PALITA","1","louvain",TRUE,0.0673422361403953,3,30,0
"542","PALSTI","3","louvain",TRUE,0.0673422361403953,3,30,0
"543","PANOSU","2","louvain",TRUE,0.0673422361403953,3,30,0
"544","PASS01","1","louvain",TRUE,0.0673422361403953,3,30,0
"545","PIPE01","2","louvain",TRUE,0.0673422361403953,3,30,0
"546","PIPE04","1","louvain",TRUE,0.0673422361403953,3,30,0
"547","PIPEIM","1","louvain",TRUE,0.0673422361403953,3,30,0
"548","PIPELO","3","louvain",TRUE,0.0673422361403953,3,30,0
"549","PLEU01","2","louvain",TRUE,0.0673422361403953,3,30,0
"550","PODA01","3","louvain",TRUE,0.0673422361403953,3,30,0
"551","POURBI","2","louvain",TRUE,0.0673422361403953,3,30,0
"552","POUT01","2","louvain",TRUE,0.0673422361403953,3,30,0
"553","PRESAC","2","louvain",TRUE,0.0673422361403953,3,30,0
"554","PRUNRE","2","louvain",TRUE,0.0673422361403953,3,30,0
"555","PSOQCO","2","louvain",TRUE,0.0673422361403953,3,30,0
"556","PSYC01","1","louvain",TRUE,0.0673422361403953,3,30,0
"557","PSYCAL","1","louvain",TRUE,0.0673422361403953,3,30,0
"558","PSYCAU","3","louvain",TRUE,0.0673422361403953,3,30,0
"559","PSYCRU","3","louvain",TRUE,0.0673422361403953,3,30,0
"560","PSYCSA","1","louvain",TRUE,0.0673422361403953,3,30,0
"561","PSYCSL","1","louvain",TRUE,0.0673422361403953,3,30,0
"562","PSYDOO","1","louvain",TRUE,0.0673422361403953,3,30,0
"563","RHOD02","2","louvain",TRUE,0.0673422361403953,3,30,0
"564","RONDRE","1","louvain",TRUE,0.0673422361403953,3,30,0
"565","RUAGGL","1","louvain",TRUE,0.0673422361403953,3,30,0
"566","SALAGI","1","louvain",TRUE,0.0673422361403953,3,30,0
"567","SAPILA","1","louvain",TRUE,0.0673422361403953,3,30,0
"568","SAPIST","2","louvain",TRUE,0.0673422361403953,3,30,0
"569","SAURMI","1","louvain",TRUE,0.0673422361403953,3,30,0
"570","SAURPA","2","louvain",TRUE,0.0673422361403953,3,30,0
"571","SCHE02","3","louvain",TRUE,0.0673422361403953,3,30,0
"572","SCHELA","1","louvain",TRUE,0.0673422361403953,3,30,0
"573","SCHESP","1","louvain",TRUE,0.0673422361403953,3,30,0
"574","SIPA02","2","louvain",TRUE,0.0673422361403953,3,30,0
"575","SIPASU","2","louvain",TRUE,0.0673422361403953,3,30,0
"576","SLOA01","2","louvain",TRUE,0.0673422361403953,3,30,0
"577","SOLADE","2","louvain",TRUE,0.0673422361403953,3,30,0
"578","SOLALE","1","louvain",TRUE,0.0673422361403953,3,30,0
"579","SOLANU","3","louvain",TRUE,0.0673422361403953,3,30,0
"580","STEPAN","2","louvain",TRUE,0.0673422361403953,3,30,0
"581","STIRGU","2","louvain",TRUE,0.0673422361403953,3,30,0
"582","SYMPHI","2","louvain",TRUE,0.0673422361403953,3,30,0
"583","TABEPA","3","louvain",TRUE,0.0673422361403953,3,30,0
"584","TETRMA","1","louvain",TRUE,0.0673422361403953,3,30,0
"585","TOPOPI","3","louvain",TRUE,0.0673422361403953,3,30,0
"586","TOURGI","1","louvain",TRUE,0.0673422361403953,3,30,0
"587","TRIC01","2","louvain",TRUE,0.0673422361403953,3,30,0
"588","TURPOC","3","louvain",TRUE,0.0673422361403953,3,30,0
"589","UNIDEN","3","louvain",TRUE,0.0673422361403953,3,30,0
"590","VISM01","2","louvain",TRUE,0.0673422361403953,3,30,0
"591","WEIN01","2","louvain",TRUE,0.0673422361403953,3,30,0
"592","WETTKA","2","louvain",TRUE,0.0673422361403953,3,30,0
"593","XANT01","1","louvain",TRUE,0.0673422361403953,3,30,0
