"","census","d_cutoff","group","x","y","density","soiltype"
"96",1,10,"1",410,70,2.63142989164956e-06,"2"
"97",1,10,"1",430,70,2.48210511116307e-06,"2"
"98",1,10,"1",450,70,2.78610366278964e-06,"2"
"99",1,10,"1",470,70,3.33881201690108e-06,"2"
"100",1,10,"1",490,70,3.71446178132666e-06,"2"
"101",1,10,"1",10,90,7.02058442056163e-06,"1"
"102",1,10,"1",30,90,6.66134077335299e-06,"1"
"103",1,10,"1",50,90,6.13260060031008e-06,"1"
"104",1,10,"1",70,90,5.03676068906e-06,"1"
"105",1,10,"1",90,90,3.90196138101672e-06,"2"
"106",1,10,"1",110,90,3.40032251665864e-06,"2"
"107",1,10,"1",130,90,3.57709730127208e-06,"2"
"108",1,10,"1",150,90,4.28143963226027e-06,"3"
"109",1,10,"1",170,90,4.97656806864742e-06,"1"
"110",1,10,"1",190,90,5.19506562978164e-06,"1"
"111",1,10,"1",210,90,4.66992359374648e-06,"1"
"112",1,10,"1",230,90,3.78544147098721e-06,"2"
"113",1,10,"1",250,90,3.64234340029588e-06,"2"
"114",1,10,"1",270,90,3.85748676035264e-06,"2"
"115",1,10,"1",290,90,3.47577819735543e-06,"2"
"116",1,10,"1",310,90,3.50936334612486e-06,"4"
"117",1,10,"1",330,90,4.32968058503836e-06,"4"
"118",1,10,"1",350,90,4.41746181248185e-06,"2"
"119",1,10,"1",370,90,3.878498216408e-06,"2"
"120",1,10,"1",390,90,3.15692695544613e-06,"2"
"121",1,10,"1",410,90,2.37810088518842e-06,"2"
"122",1,10,"1",430,90,2.01896782485108e-06,"2"
"123",1,10,"1",450,90,2.33545635564956e-06,"2"
"124",1,10,"1",470,90,3.10338818616523e-06,"2"
"125",1,10,"1",490,90,3.69228056357396e-06,"2"
"126",1,10,"1",10,110,7.88455271671662e-06,"1"
"127",1,10,"1",30,110,6.79168501420187e-06,"1"
"128",1,10,"1",50,110,5.56026351178156e-06,"1"
"129",1,10,"1",70,110,4.56280731202597e-06,"2"
"130",1,10,"1",90,110,3.80174184932895e-06,"2"
"131",1,10,"1",110,110,3.57015608407438e-06,"4"
"132",1,10,"1",130,110,4.04475293506861e-06,"4"
"133",1,10,"1",150,110,5.1700173097831e-06,"1"
"134",1,10,"1",170,110,6.72488184559607e-06,"1"
"135",1,10,"1",190,110,7.39832416637326e-06,"1"
"136",1,10,"1",210,110,6.27629164353527e-06,"1"
"137",1,10,"1",230,110,4.67595612361014e-06,"1"
"138",1,10,"1",250,110,4.12680910658905e-06,"2"
"139",1,10,"1",270,110,3.97082769347034e-06,"2"
"140",1,10,"1",290,110,3.69644835610947e-06,"2"
"141",1,10,"1",310,110,3.84285455193807e-06,"4"
"142",1,10,"1",330,110,4.28483203933454e-06,"4"
"143",1,10,"1",350,110,4.23606199404754e-06,"4"
"144",1,10,"1",370,110,3.81893630922672e-06,"2"
"145",1,10,"1",390,110,3.03856055525853e-06,"2"
"146",1,10,"1",410,110,2.14731366587574e-06,"2"
"147",1,10,"1",430,110,1.73919739143598e-06,"2"
"148",1,10,"1",450,110,2.1090356655449e-06,"2"
"149",1,10,"1",470,110,3.08968414324132e-06,"2"
"150",1,10,"1",490,110,3.9860957240529e-06,"2"
"151",1,10,"1",10,130,7.87314022831472e-06,"1"
"152",1,10,"1",30,130,6.39534282332115e-06,"1"
"153",1,10,"1",50,130,5.05581617001997e-06,"3"
"154",1,10,"1",70,130,4.71124291518202e-06,"3"
"155",1,10,"1",90,130,4.56862834661574e-06,"3"
"156",1,10,"1",110,130,4.04228621148611e-06,"4"
"157",1,10,"1",130,130,4.28634719551686e-06,"4"
"158",1,10,"1",150,130,6.28452548098612e-06,"1"
"159",1,10,"1",170,130,9.39995267710125e-06,"1"
"160",1,10,"1",190,130,1.05831935005852e-05,"1"
"161",1,10,"1",210,130,8.83616002990933e-06,"1"
"162",1,10,"1",230,130,6.66194480766442e-06,"1"
"163",1,10,"1",250,130,5.75456647445359e-06,"1"
"164",1,10,"1",270,130,4.86106956014047e-06,"1"
"165",1,10,"1",290,130,4.20912138036065e-06,"2"
"166",1,10,"1",310,130,4.35513009642471e-06,"4"
"167",1,10,"1",330,130,4.43848321148244e-06,"4"
"168",1,10,"1",350,130,4.30303162391502e-06,"4"
"169",1,10,"1",370,130,3.92353536845331e-06,"4"
"170",1,10,"1",390,130,2.85448408788029e-06,"2"
"171",1,10,"1",410,130,1.96108534206263e-06,"2"
"172",1,10,"1",430,130,1.67275647357158e-06,"2"
"173",1,10,"1",450,130,1.94036035535145e-06,"2"
"174",1,10,"1",470,130,2.74859211194506e-06,"2"
"175",1,10,"1",490,130,3.6367054324026e-06,"2"
"176",1,10,"1",10,150,5.58663587068114e-06,"3"
"177",1,10,"1",30,150,4.86322817957471e-06,"3"
"178",1,10,"1",50,150,4.32424645215938e-06,"3"
"179",1,10,"1",70,150,4.83868079452063e-06,"3"
"180",1,10,"1",90,150,5.28778860150259e-06,"3"
"181",1,10,"1",110,150,4.34678509312173e-06,"4"
